horizon,model,n_rows,n_folds,rmse,rmse_std,mae,r2,delta_r2,k
1,persistence_baseline,283,4,17.870068842031426,8.894236790849224,12.531914893617023,0.48783548249958103,-0.0015500889771978832,
1,climatology_7d,283,4,25.947637836643327,8.885222889255624,20.528875379939212,-0.17842605944842885,-1.6522993595226279,
1,damped_persistence,283,4,17.54855092386621,8.016865044192835,12.939524204853228,0.49892482958675577,-0.019877544821972126,0.2390857419554783
1,random_forest,283,4,18.44804278891316,7.931545285010191,13.417184813405525,0.45882939750480095,-0.18216542808679692,
1,ridge,283,4,18.093579108552113,7.88501337780443,13.365344065207093,0.479391830270681,-0.08364047108277006,
1,WINNER:damped_persistence,283,4,17.54855092386621,8.016865044192835,12.939524204853228,0.49892482958675577,-0.019877544821972126,0.2390857419554783
2,persistence_baseline,282,4,25.602678052018092,12.642704732282962,19.68617021276596,-0.057840958814696,-0.0038286521400187623,
2,climatology_7d,282,4,28.007489696837517,9.075452990233384,21.998480243161094,-0.38212979865783464,-0.4698079004283726,
2,damped_persistence,282,4,24.264420269364646,9.949299889188698,19.021556893765567,0.01746019361623266,0.00918629244134836,0.4939445256093939
2,random_forest,282,4,27.548204426234985,13.472124516704639,21.865002792381357,-0.2740479605661487,-0.5094876726894353,
2,ridge,282,4,25.483503597784708,10.7135297773691,20.128557893404423,-0.03962266406289083,-0.059938500279950985,
2,WINNER:damped_persistence,282,4,24.264420269364646,9.949299889188698,19.021556893765567,0.01746019361623266,0.00918629244134836,0.4939445256093939
3,persistence_baseline,281,4,28.09810956193856,12.789327238725644,22.233695652173914,-0.24394666017478633,-0.0028336045026893797,
3,climatology_7d,281,4,29.45993563211965,8.714658173762677,23.039596273291927,-0.5051251015161711,-0.2896911108698371,
3,damped_persistence,281,4,26.710464171860234,9.425612462117204,21.23384069595973,-0.18447317357726709,0.002874022086863409,0.6208317197811669
3,random_forest,281,4,29.382849127752014,13.956720746538284,23.398989928434244,-0.41211242112797586,-0.345870009859365,
3,ridge,281,4,27.358330763700888,10.901205393132004,22.317707956700843,-0.17490911143882554,0.006959159207677201,
3,WINNER:damped_persistence,281,4,26.710464171860234,9.425612462117204,21.23384069595973,-0.18447317357726709,0.002874022086863409,0.6208317197811669
