horizon_h,model,n_rows,rmse,mae,r2,delta_r2
1,persistence,8206,1.3594023755742761,0.7710237659963437,0.9985298219287739,-0.002955168202543268
1,diurnal_naive,8206,23.60393582147111,15.931139549055453,0.587328847867653,-288.020179195394
1,damped_reversion,8206,1.072268863472571,0.6932402417892438,0.999032454669681,0.3555522091597062
1,hist_gbr,8206,0.8476255927601548,0.5522160811294764,0.9994920797031606,0.5648144453404643
1,ridge,8206,0.8472503736444874,0.5798026352652882,0.9994387648755183,0.4462431197440514
1,elastic_net,8206,0.7113433014711785,0.4917359975184089,0.9995334708987701,0.6720849809520522
1,boosted_residual,8206,0.7698080053695379,0.5378241330346489,0.9995560058112285,0.5444116709193652
1,ensemble,8206,0.7540359697779826,0.5156166897261216,0.9995553161167907,0.6377485542923356
3,persistence,8204,3.8276916575163416,2.2996951219512196,0.9886111478174133,-0.00354256339973974
3,diurnal_naive,8204,24.766919005475224,16.828201219512195,0.5467667636801012,-40.04070513147336
3,damped_reversion,8204,3.0956644783685534,1.8785879367094163,0.9922097467462336,0.33304547898797204
3,hist_gbr,8204,2.2649037221876442,1.3714705292336191,0.9964786924044524,0.6313319413251384
3,ridge,8204,2.3139575415119706,1.4636454542764046,0.9960082262155066,0.4811650516989562
3,elastic_net,8204,1.9384101407307281,1.1927965354025214,0.9966677917514123,0.7101668297787136
3,boosted_residual,8204,2.143743227689137,1.4259506935280812,0.9968237632869138,0.5697089534031476
3,ensemble,8204,2.020971233539012,1.2671416890397154,0.9969549922231278,0.684633189533455
6,persistence,8201,7.348461632342106,4.524237804878049,0.9585545987269053,-0.003780620535080381
6,diurnal_naive,8201,26.308624041901894,18.057774390243903,0.49078510593776425,-11.660298338943658
6,damped_reversion,8201,6.310815971770894,3.817447899598767,0.9683411230236076,0.2533949688777556
6,hist_gbr,8201,4.844975554199857,2.9915097413918423,0.9830057340840572,0.5393346009859383
6,ridge,8201,5.179921883224179,3.2187875993576354,0.9804239535892224,0.3257931103522277
6,elastic_net,8201,4.403516627863141,2.6234671451900726,0.9832889391950684,0.6025010756054118
6,boosted_residual,8201,4.931938026503,3.2408711014932203,0.9836316908680667,0.41990451495923564
6,ensemble,8201,4.479456689729075,2.793281822617204,0.9849240583052832,0.5858836330134856
12,persistence,8153,13.566804732933802,8.679141104294478,0.8613715102879231,-0.003794857115003436
12,diurnal_naive,8153,28.80064974613181,20.14049079754601,0.3948865512490915,-3.496314861517903
12,damped_reversion,8153,12.59837793366042,7.863339979712806,0.8779661684011048,0.1352333446013655
12,hist_gbr,8153,10.916598115737019,7.228352170519636,0.9146181017980154,0.3113839225003301
12,ridge,8153,11.270703568094065,7.2132454600486,0.9097797338801487,0.13203554371947224
